Average Day On Market,,,,,,,Agent Performance (Total Sales),,,,Location Statistics  Mean Sold Price,,
,,,,,,,Anna Rodriguez,3988000,,,Downtown,353500,
Single Family,50.57142857,,,,,,James Wilson,2665000,,,Midtown,355300,
Condo,27.61538462,,,,,,Lisa Chen,6660000,,,Suburbs,294000,
Townhouse,35.76923077,,,,,,Mark Thompson,3375000,,,Beachfront,666000,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,Location Statistics Max Sold Price,,
,,,,,,,,,,,,,
,,,,,,,,,,,Downtown,190000,
,,,,,,,,,,,Midtown,220000,
,,,,,,,,,,,Suburbs,150000,
,,,,,,,,,,,Beachfront,435000,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,Location Statistics Min Sold Price,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,Downtown,495000,,,,,
,,,,,,,Midtown,475000,,,,,
,,,,,,,Suburbs,510000,,,,,
,,,,,,,Beachfront,1050000,,,,,
,,,,,,,,,,,Monthly Sale Analysis,,
,,,,,,,,,,,1,1965000,
,,,,,,,,,,,2,2395000,
,,,,,,,,,,,3,3375000,
,,,,,,,,,,,4,4087000,
,,,,,,,,,,,5,3731000,
,,,,,,,,,,,6,1135000,
,,,,,,,,,,,7,0,
,,,,,,,,,,,8,0,
,,,,,,,,,,,9,0,
,,,,,,,,,,,10,0,
,,,,,,,,,,,11,0,
,,,,,,,,,,,12,0,
,Statistical Analysis,,,Problem 14: Percentile Analysis Sold Price,,,,,,,,,
,Mean,417200,,0.25,,1212.5,,,,,,,
,Median,392500,,0.5,,1725,,,,,,,
,Standard Deviation,197891.3455,,0.75,,2250,,,,,,,
,Variance,39160984615,,1,,666000,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Total Days on Market per Agent,,,
,,,,,,,,,,Anna Rodriguez,419,,
Total Sold Price per Agent:,,,,,,,,,,James Wilson,265,,
Anna Rodriguez,3988000,,,,,,,,,Lisa Chen,496,,
James Wilson,2665000,,,,,,,,,Mark Thompson,352,,
Lisa Chen,6660000,,,,,,,,,,,,
Mark Thompson,3375000,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
